troncon_id,delta_ECA,ratio_delta_cost
5432,0.031529,0.002866
5437,0.048462,0.001731
5439,1.942530,0.025560
5441,2.204780,0.088191
5442,0.247061,0.024706
5443,0.415879,0.007296
5444,0.108714,0.006395
5445,2.308650,0.079609
5446,1.079050,0.067440
5449,0.044577,0.003429
5450,0.132212,0.003673
5451,0.018376,0.001531
5454,0.043817,0.002434
