from,to,from_x,from_y,to_x,to_y
162,171,896776.7877,6252796.681,895931.1183,6251813.658
162,170,896776.7877,6252796.681,897221.6731,6254280.26
162,168,896776.7877,6252796.681,898248.009,6245355.938
162,167,896776.7877,6252796.681,894828.0179,6249954.883
162,166,896776.7877,6252796.681,895291.0231,6251467.41
162,165,896776.7877,6252796.681,893782.4458,6252279.328
162,164,896776.7877,6252796.681,894740.5409,6251293.16
162,163,896776.7877,6252796.681,894164.4941,6251897.209
161,196,890993.371,6253728.532,886765.1685,6254353.526
161,193,890993.371,6253728.532,898360.8419,6249231.89
161,192,890993.371,6253728.532,891245.3657,6253164.735
161,189,890993.371,6253728.532,899142.4554,6252598.436
161,184,890993.371,6253728.532,896259.7889,6247501.291
161,182,890993.371,6253728.532,898140.7095,6250264.237
161,181,890993.371,6253728.532,896109.477,6249277.96
161,180,890993.371,6253728.532,894782.8435,6252089.149
161,179,890993.371,6253728.532,893572.6591,6250200.509
161,178,890993.371,6253728.532,887648.8491,6254456.912
161,177,890993.371,6253728.532,893031.9905,6248778.506
161,175,890993.371,6253728.532,894474.0396,6248609.383
161,171,890993.371,6253728.532,895931.1183,6251813.658
161,170,890993.371,6253728.532,897221.6731,6254280.26
161,167,890993.371,6253728.532,894828.0179,6249954.883
161,166,890993.371,6253728.532,895291.0231,6251467.41
161,165,890993.371,6253728.532,893782.4458,6252279.328
161,164,890993.371,6253728.532,894740.5409,6251293.16
161,163,890993.371,6253728.532,894164.4941,6251897.209
161,162,890993.371,6253728.532,896776.7877,6252796.681
160,195,896488.4487,6248556.281,900626.3369,6253112.184
160,194,896488.4487,6248556.281,899962.6971,6251047.65
160,193,896488.4487,6248556.281,898360.8419,6249231.89
160,192,896488.4487,6248556.281,891245.3657,6253164.735
160,191,896488.4487,6248556.281,902518.0489,6247189.228
160,190,896488.4487,6248556.281,903115.7029,6248328.979
160,189,896488.4487,6248556.281,899142.4554,6252598.436
160,188,896488.4487,6248556.281,899652.3352,6251059.146
160,187,896488.4487,6248556.281,894884.4415,6241468.28
160,186,896488.4487,6248556.281,901234.2054,6254146.527
160,185,896488.4487,6248556.281,899255.6088,6249530.409
160,184,896488.4487,6248556.281,896259.7889,6247501.291
160,183,896488.4487,6248556.281,893999.1711,6241492.247
160,182,896488.4487,6248556.281,898140.7095,6250264.237
160,181,896488.4487,6248556.281,896109.477,6249277.96
160,180,896488.4487,6248556.281,894782.8435,6252089.149
160,179,896488.4487,6248556.281,893572.6591,6250200.509
160,177,896488.4487,6248556.281,893031.9905,6248778.506
160,176,896488.4487,6248556.281,895189.3055,6244277.833
160,175,896488.4487,6248556.281,894474.0396,6248609.383
160,174,896488.4487,6248556.281,895066.1113,6243303.233
160,173,896488.4487,6248556.281,897817.951,6248248.827
160,172,896488.4487,6248556.281,902428.6381,6247977.304
160,171,896488.4487,6248556.281,895931.1183,6251813.658
160,170,896488.4487,6248556.281,897221.6731,6254280.26
160,169,896488.4487,6248556.281,893041.6517,6244378.633
160,168,896488.4487,6248556.281,898248.009,6245355.938
160,167,896488.4487,6248556.281,894828.0179,6249954.883
160,166,896488.4487,6248556.281,895291.0231,6251467.41
160,165,896488.4487,6248556.281,893782.4458,6252279.328
160,164,896488.4487,6248556.281,894740.5409,6251293.16
160,163,896488.4487,6248556.281,894164.4941,6251897.209
160,162,896488.4487,6248556.281,896776.7877,6252796.681
160,161,896488.4487,6248556.281,890993.371,6253728.532
159,195,900195.4364,6248526.496,900626.3369,6253112.184
